Taxa,unclassified,total,unclassified_percent,database,method,dataset,method_dataset,name
HsapMB291,32903000,56915999,57.80975574,standard (0 cMAGs),seqwell HiFi,new,seqwell HiFi_new,500.FB00259114.PB.F4.P2_RevioSPRQ_s3.SW.C01
HsapMB291,19420999,56915996,34.12221584,986 cMAG,seqwell HiFi,new,seqwell HiFi_new,500.FB00259114.PB.F4.P2_RevioSPRQ_s3.SW.C01
HsapMB36,55871000,101390997,55.10449808,standard (0 cMAGs),seqwell HiFi,new,seqwell HiFi_new,500.FB00862515.PB.E1.P1_RevioSPRQ_s1.SW.D05
HsapMB36,29660000,101390994,29.25309126,986 cMAG,seqwell HiFi,new,seqwell HiFi_new,500.FB00862515.PB.E1.P1_RevioSPRQ_s1.SW.D05
HsapMB132,32761999,57104997,57.37150989,standard (0 cMAGs),seqwell HiFi,new,seqwell HiFi_new,500.FB00862515.PB.E1.P1_RevioSPRQ_s2.SW.D05
HsapMB132,17930999,57104997,31.40005243,986 cMAG,seqwell HiFi,new,seqwell HiFi_new,500.FB00862515.PB.E1.P1_RevioSPRQ_s2.SW.D05
HsapMB241,21153999,36056998,58.66822024,standard (0 cMAGs),seqwell HiFi,new,seqwell HiFi_new,500.FB00863502.PB.F1.P2_RevioSPRQ_s3.SW.A07
HsapMB241,15202999,36056995,42.16379928,986 cMAG,seqwell HiFi,new,seqwell HiFi_new,500.FB00863502.PB.F1.P2_RevioSPRQ_s3.SW.A07
HsapMB337,10268000,16153000,63.56713923,standard (0 cMAGs),seqwell HiFi,new,seqwell HiFi_new,500.FB00863502.PB.F4.P2_RevioSPRQ_s3.SW.A07
HsapMB337,8068999,16152999,49.9535659,986 cMAG,seqwell HiFi,new,seqwell HiFi_new,500.FB00863502.PB.F4.P2_RevioSPRQ_s3.SW.A07
HsapMB46,74409000,116588991,63.82163475,standard (0 cMAGs),seqwell HiFi,new,seqwell HiFi_new,500.FB00929809.PB.E1.P1_RevioSPRQ_s1.SW.F06
HsapMB46,57021000,116588991,48.90770519,986 cMAG,seqwell HiFi,new,seqwell HiFi_new,500.FB00929809.PB.E1.P1_RevioSPRQ_s1.SW.F06
HsapMB142,43500999,66541999,65.37374839,standard (0 cMAGs),seqwell HiFi,new,seqwell HiFi_new,500.FB00929809.PB.E1.P1_RevioSPRQ_s2.SW.F06
HsapMB142,34259000,66541998,51.48477808,986 cMAG,seqwell HiFi,new,seqwell HiFi_new,500.FB00929809.PB.E1.P1_RevioSPRQ_s2.SW.F06
HsapMB60,89346000,148997996,59.96456489,standard (0 cMAGs),seqwell HiFi,new,seqwell HiFi_new,500.FB00935447.PB.E1.P1_RevioSPRQ_s1.SW.D08
HsapMB60,59048000,148997992,39.63006428,986 cMAG,seqwell HiFi,new,seqwell HiFi_new,500.FB00935447.PB.E1.P1_RevioSPRQ_s1.SW.D08
HsapMB156,53662000,88562993,60.59189982,standard (0 cMAGs),seqwell HiFi,new,seqwell HiFi_new,500.FB00935447.PB.E1.P1_RevioSPRQ_s2.SW.D08
HsapMB156,36056999,88562996,40.71339118,986 cMAG,seqwell HiFi,new,seqwell HiFi_new,500.FB00935447.PB.E1.P1_RevioSPRQ_s2.SW.D08
HsapMB418,86034000,151635994,56.73718867,standard (0 cMAGs),seqwell HiFi,new,seqwell HiFi_new,504.FB00259057.PB.G1.P3_RevioSPRQ_s4.SW.B05
HsapMB418,56924999,151635994,37.54055848,986 cMAG,seqwell HiFi,new,seqwell HiFi_new,504.FB00259057.PB.G1.P3_RevioSPRQ_s4.SW.B05
HsapMB508,81102000,142132997,57.06064159,standard (0 cMAGs),seqwell HiFi,new,seqwell HiFi_new,504.FB00259057.PB.G1.P3_Vega.SW.B05
HsapMB508,53760000,142132994,37.82373008,986 cMAG,seqwell HiFi,new,seqwell HiFi_new,504.FB00259057.PB.G1.P3_Vega.SW.B05
HsapMB248,40921000,78553997,52.09282985,standard (0 cMAGs),seqwell HiFi,new,seqwell HiFi_new,504.FB00862528.PB.F1.P2_RevioSPRQ_s3.SW.H07
HsapMB248,25880000,78553997,32.94549099,986 cMAG,seqwell HiFi,new,seqwell HiFi_new,504.FB00862528.PB.F1.P2_RevioSPRQ_s3.SW.H07
HsapMB344,16714000,30330999,55.10533959,standard (0 cMAGs),seqwell HiFi,new,seqwell HiFi_new,504.FB00862528.PB.F4.P2_RevioSPRQ_s3.SW.H07
HsapMB344,11593000,30330998,38.22162396,986 cMAG,seqwell HiFi,new,seqwell HiFi_new,504.FB00862528.PB.F4.P2_RevioSPRQ_s3.SW.H07
HsapMB235,50516000,84246996,59.9617819,standard (0 cMAGs),seqwell HiFi,new,seqwell HiFi_new,504.FB00863333.PB.F1.P2_RevioSPRQ_s3.SW.C06
HsapMB235,35494000,84246988,42.13088306,986 cMAG,seqwell HiFi,new,seqwell HiFi_new,504.FB00863333.PB.F1.P2_RevioSPRQ_s3.SW.C06
HsapMB331,29289000,48353998,60.57203377,standard (0 cMAGs),seqwell HiFi,new,seqwell HiFi_new,504.FB00863333.PB.F4.P2_RevioSPRQ_s3.SW.C06
HsapMB331,21842000,48353994,45.17103592,986 cMAG,seqwell HiFi,new,seqwell HiFi_new,504.FB00863333.PB.F4.P2_RevioSPRQ_s3.SW.C06
HsapMB27,67853000,103004991,65.87350704,standard (0 cMAGs),seqwell HiFi,new,seqwell HiFi_new,504.FB00930520.PB.E1.P1_RevioSPRQ_s1.SW.C04
